/* DATA DESCRIPTION:
Citation:	Paul, Carolin; Sommer, Ulrich; Matthiessen, Birte (2021): Temperature, salinity, CO2, dissolved inorganic nutrients, plankton stoichiometry of indoor mesocosm experiment 2014. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.939014 (dataset in review), 
	In: Paul, C et al. (2021): Composition and dominance of edible and inedible phyto-plankton predict responses of Baltic Sea summer communities to elevated temperature and CO2. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.939015 (dataset in review)
Abstract:	Previous studies with Baltic Sea phytoplankton combining elevated seawater temperature with CO2 revealed the importance of size trait-based analyses, in particular dividing the plankton in-to edible (> 5 and < 100 µm) and inedible (< 5 and > 100 µm) size classes for mesozoopankton grazers. While the edible phytoplankton responded predominantly negative to warming and the inedible group stayed unaffected or increased, independent from edibility most phyto-plankton groups gained from CO2. Because the ratio between edible and inedible taxa changes profoundly over seasons, we investigated, if community responses can be predicted according to the prevailing composition of edible and inedible groups. We experimentally explored the combined effects of elevated temperatures and CO2 concentrations on a late-summer Baltic Sea community. Total phytoplankton significantly increased in response to elevated CO2 in particu-lar in combination with temperature, driven by a significant gain of the inedible < 5 µm fraction and large filamentous cyanobacteria. Large flagellates disappeared. The edible group was low as usual in summer and decreased with both factors due to enhanced copepod grazing and overall decline of small flagellates. Our results emphasize that the responses of summer communities are complex, but can be predicted by the composition and dominance of size classes and groups.
Keyword(s):	Baltic Sea; climate change; CO2; grazing; Phytoplankton; warming
Further details:	Paul, Carolin; Sommer, Ulrich; Matthiessen, Birte (2021): Materials and Methods BIOACID indoor mesocosm Experiment 2014.
Project(s):	Biological Impacts of Ocean Acidification (BIOACID) (URI: http://www.bioacid.de/)
Coverage:	LATITUDE: 54.333000 * LONGITUDE: 10.133000
	DATE/TIME START: 2014-08-29T00:00:00 * DATE/TIME END: 2014-09-26T00:00:00
Event(s):	Kiel_Bight_2014 * LATITUDE: 54.333000 * LONGITUDE: 10.133000 * DATE/TIME START: 2014-09-01T00:00:00 * DATE/TIME END: 2014-09-26T00:00:00 * METHOD/DEVICE: Mesocosm experiment (MESO) (URI: http://invabio.wdc-mare.org/mesocubi.jpg) * COMMENT: The mesocosms contained the natural Baltic Sea late summer plankton community from Kiel Fjord (54◦20_N and 10◦8_E; September 1st 2014 - September 26th 2014).
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Paul, Carolin (cpaul@geomar.de)
	Day of experiment [day] (DOE) * PI: Paul, Carolin (cpaul@geomar.de)
	Mesocosm label (Meso label) * PI: Paul, Carolin (cpaul@geomar.de)
	Treatment: temperature description (Temp descr) * PI: Paul, Carolin (cpaul@geomar.de)
	Treatment: partial pressure of carbon dioxide [µatm] (Treat pCO2) * PI: Paul, Carolin (cpaul@geomar.de)
	Temperature, water [°C] (Temp) * PI: Paul, Carolin (cpaul@geomar.de)
	Salinity (Sal) * PI: Paul, Carolin (cpaul@geomar.de)
	Carbon dioxide, partial pressure [µatm] (pCO2) * PI: Paul, Carolin (cpaul@geomar.de)
	Nitrate and Nitrite [µmol/l] ([NO3]- + [NO2]-) * PI: Paul, Carolin (cpaul@geomar.de)
	Ammonium [µmol/l] ([NH4]+) * PI: Paul, Carolin (cpaul@geomar.de)
	Nitrogen, total dissolved [µmol/l] (TDN) * PI: Paul, Carolin (cpaul@geomar.de)
	Silicate [µmol/l] (Si(OH)4) * PI: Paul, Carolin (cpaul@geomar.de)
	Oxygen [µmol/l] (O2) * PI: Paul, Carolin (cpaul@geomar.de)
	Carbon, organic, particulate/Nitrogen, organic, particulate ratio [mol/mol] (POC/PON) * PI: Paul, Carolin (cpaul@geomar.de)
	Particulate organic carbon/particulate organic phosphorus ratio (POC/POP) * PI: Paul, Carolin (cpaul@geomar.de)
	Particulate organic nitrogen/particulate organic phosphorus ratio (PON/POP) * PI: Paul, Carolin (cpaul@geomar.de)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	3394 data points
*/
Date/Time	DOE [day]	Meso label	Temp descr	Treat pCO2 [µatm]	Temp [°C]	Sal	pCO2 [µatm]	[NO3]- + [NO2]- [µmol/l]	[NH4]+ [µmol/l]	TDN [µmol/l]	Si(OH)4 [µmol/l]	O2 [µmol/l]	POC/PON [mol/mol]	POC/POP	PON/POP
2014-08-29T00:00:00	-4	M1	warm	2500	16.4	18.7	966.0	0.86	0.36	1.22	12.51	0.80	10.96	21.88	1.71
2014-08-31T00:00:00	-2	M1	warm	2500	15.4	18.8									
2014-09-01T00:00:00	-1	M1	warm	2500	15.4	18.9	305.0	2.05	0.78	2.83	17.65	0.58	9.68	99.87	8.85
2014-09-02T00:00:00	0	M1	warm	2500	15.7	18.9									
2014-09-03T00:00:00	1	M1	warm	2500	17.6	19.0	466.0	1.27	0.69	1.96	15.28	0.29	7.77	72.37	7.99
2014-09-04T00:00:00	2	M1	warm	2500	18.0	19.1	474.8								
2014-09-05T00:00:00	3	M1	warm	2500	18.2	19.0	4337.0	0.73	0.56	1.29	7.24	0.46	6.39	74.21	9.96
2014-09-06T00:00:00	4	M1	warm	2500	18.4	19.1									
2014-09-07T00:00:00	5	M1	warm	2500	18.3	19.1									
2014-09-08T00:00:00	6	M1	warm	2500	18.4	19.1	2500.0	0.90	0.45	1.35	8.74	0.42	7.82	62.74	8.02
2014-09-09T00:00:00	7	M1	warm	2500	18.3	19.1									
2014-09-10T00:00:00	8	M1	warm	2500	18.3	19.1	1736.0	0.96	0.52	1.48	6.97	0.67	8.28	52.36	6.32
2014-09-11T00:00:00	9	M1	warm	2500	18.3	19.1									
2014-09-12T00:00:00	10	M1	warm	2500	18.3	18.9	2023.0	0.61	0.44	1.05	9.18	0.35	7.53	91.55	10.42
2014-09-13T00:00:00	11	M1	warm	2500	18.4	19.1									
2014-09-14T00:00:00	12	M1	warm	2500	18.4	19.0									
2014-09-15T00:00:00	13	M1	warm	2500	18.5	19.1	1521.0	1.10	0.38	1.48	13.12	0.37	7.99	43.93	4.71
2014-09-16T00:00:00	14	M1	warm	2500	18.5	19.1									
2014-09-17T00:00:00	15	M1	warm	2500	18.5	19.1	1358.0	0.82	0.40	1.22	8.39	0.27	6.16	24.52	3.41
2014-09-18T00:00:00	16	M1	warm	2500	18.4	19.1									
2014-09-19T00:00:00	17	M1	warm	2500	18.4	19.1	2520.0	0.60	0.32	0.92	8.40	0.29	6.46	26.65	3.53
2014-09-20T00:00:00	18	M1	warm	2500	18.4	19.0									
2014-09-21T00:00:00	19	M1	warm	2500	18.4	19.1									
2014-09-22T00:00:00	20	M1	warm	2500	18.2	19.1	1705.0	0.68	0.39	1.07	10.76	0.24	6.73	22.18	2.83
2014-09-23T00:00:00	21	M1	warm	2500	17.9	19.1									
2014-09-24T00:00:00	22	M1	warm	2500	18.1	19.1	2137.0	0.58	0.21	0.79	13.83	0.16	6.29	22.40	3.05
2014-09-25T00:00:00	23	M1	warm	2500	18.0	19.1									
2014-09-26T00:00:00	24	M1	warm	2500	18.1	19.0	1589.0	0.99	0.42	1.41	10.94	0.10			
2014-08-29T00:00:00	-4	M2	warm	1500	17.0	18.7	984.0	1.41	0.35	1.76	12.77	0.81	10.21	22.67	1.90
2014-08-31T00:00:00	-2	M2	warm	1500	16.0	18.8									
2014-09-01T00:00:00	-1	M2	warm	1500	15.8	18.8	301.0	1.52	0.54	2.06	18.89	0.65	9.21	62.60	5.83
2014-09-02T00:00:00	0	M2	warm	1500	16.1	18.8									
2014-09-03T00:00:00	1	M2	warm	1500	17.6	19.0	357.0	0.61	0.42	1.03	10.01	0.52	8.22	74.85	7.81
2014-09-04T00:00:00	2	M2	warm	1500	18.2	18.9	365.3								
2014-09-05T00:00:00	3	M2	warm	1500	18.5	18.9	4331.0	2.16	0.34	2.50	8.94	0.52	6.09	61.81	8.70
2014-09-06T00:00:00	4	M2	warm	1500	18.7	18.9									
2014-09-07T00:00:00	5	M2	warm	1500	18.7	18.9									
2014-09-08T00:00:00	6	M2	warm	1500	18.8	18.8	2568.0	1.01	0.32	1.33	10.85	0.47	6.85	44.36	6.48
2014-09-09T00:00:00	7	M2	warm	1500	18.8	19.0									
2014-09-10T00:00:00	8	M2	warm	1500	18.6	19.0	2485.0	0.40	0.35	0.75	8.51	0.59	8.39	58.89	7.02
2014-09-11T00:00:00	9	M2	warm	1500	18.6	19.0									
2014-09-12T00:00:00	10	M2	warm	1500	18.8	19.0	2482.0	1.01	0.39	1.40	13.94	0.41	6.89	60.80	7.56
2014-09-13T00:00:00	11	M2	warm	1500	18.8	19.0									
2014-09-14T00:00:00	12	M2	warm	1500	18.8	19.0									
