Date/Time,DOE [day],Meso label,Phytopl C [µg/l] (Ditylim brightwselli),Phytopl C [µg/l] (Teleaulax),Phytopl C [µg/l] (Tripos longissimus),Phytopl C [µg/l] (Tripos muelleri),Phytopl C [µg/l] (Dinophysis sp.),Phytopl C [µg/l] (Prorocentrum micans),Phytopl C [µg/l] (Prorocentrum cordatum),Phytopl C [µg/l] (Nodularia spumigena),Phytopl C [µg/l] (Dolichospermum sp.),Phytopl C [µg/l] (pico-cyanobacteria),Phytopl C [µg/l] (phytoplankton < 5µm),Phytopl C [µg/l] (total phyto C),Phytopl C [µg/l] (edible phytoplankton C),Phytopl C [µg/l] (inedible phytoplankton C)
2014-09-01T00:00:00,-1,1,2.116,1.958,59.618,117.303,0.278,0.376,0.131,4.763,0.052,4.885,39.33,229.616,7.897,221.719
2014-09-03T00:00:00,1,1,1.391,5.874,31.796,100.112,0.185,1.129,0.21,78.982,0.104,4.23,28.086,249.708,9.929,239.779
2014-09-05T00:00:00,3,1,0.907,7.079,13.249,87.977,0.232,0.752,0.131,124.625,0.155,3.704,46.396,282.689,9.672,273.017
2014-09-08T00:00:00,6,1,1.209,1.958,5.962,29.831,0.278,0.376,0.131,206.386,0.207,11.335,156.07,404.601,5.107,399.493
2014-09-10T00:00:00,8,1,1.391,0.753,11.924,20.225,0.185,0.0,0.0,127.801,0.803,6.614,331.174,495.262,3.221,492.041
2014-09-12T00:00:00,10,1,0.907,0.527,5.829,4.045,0.417,0.0,0.131,65.488,1.166,9.476,276.267,356.152,2.672,353.48
2014-09-15T00:00:00,13,1,0.786,0.301,3.975,8.697,0.185,0.0,0.0,51.2,1.036,14.412,250.386,318.413,1.645,316.768
2014-09-17T00:00:00,15,1,0.605,0.0,3.975,7.989,0.139,0.0,0.131,90.492,2.331,12.227,212.034,318.01,1.043,316.968
2014-09-19T00:00:00,17,1,0.302,0.0,2.915,5.461,0.0,0.0,0.0,69.854,3.368,9.197,183.016,265.027,0.385,264.642
2014-09-22T00:00:00,20,1,0.0,0.0,0.265,0.0,0.046,0.0,0.0,136.929,3.368,7.951,185.294,326.262,0.164,326.098
2014-09-24T00:00:00,22,1,0.181,0.0,0.0,0.809,0.0,0.0,0.0,121.45,5.57,20.151,207.744,336.06,0.477,335.583
2014-09-26T00:00:00,24,1,0.0,0.0,0.0,0.101,0.0,0.0,0.0,119.863,8.937,66.553,263.853,392.857,0.103,392.754
2014-09-01T00:00:00,-1,2,2.6,1.807,90.09,143.595,0.232,0.564,0.21,6.747,0.052,4.658,35.488,285.847,9.353,276.494
2014-09-03T00:00:00,1,2,1.995,4.669,31.134,88.988,0.139,0.752,0.524,63.503,0.052,3.132,28.794,222.929,9.996,212.933
2014-09-05T00:00:00,3,2,1.512,5.498,2.517,97.078,0.324,1.317,0.262,115.1,0.078,1.885,3.966,229.812,9.647,220.165
2014-09-08T00:00:00,6,2,1.391,3.314,4.637,42.472,0.324,0.941,0.131,63.106,0.155,14.943,194.379,313.491,6.904,306.588
2014-09-10T00:00:00,8,2,1.209,0.678,6.624,31.854,0.278,0.752,0.131,29.767,0.311,9.986,253.673,327.962,3.931,324.032
2014-09-12T00:00:00,10,2,0.786,0.452,5.697,11.528,0.463,0.0,0.262,26.989,0.518,12.945,251.209,298.989,2.299,296.69
2014-09-15T00:00:00,13,2,0.786,0.151,2.65,4.045,0.278,0.0,0.131,96.049,0.816,11.219,200.749,306.459,1.553,304.906
2014-09-17T00:00:00,15,2,0.484,0.0,1.457,3.034,0.185,0.0,0.0,30.561,0.583,13.881,209.437,246.443,0.929,245.514
2014-09-19T00:00:00,17,2,0.605,0.0,1.06,2.831,0.139,0.0,0.131,45.643,1.295,14.899,206.086,258.637,1.255,257.382
2014-09-22T00:00:00,20,2,0.181,0.0,0.795,1.011,0.0,0.0,0.0,49.215,4.015,7.883,191.284,247.087,0.645,246.442
2014-09-24T00:00:00,22,2,0.302,0.0,0.0,0.0,0.046,0.0,0.0,110.734,2.72,51.978,218.749,332.682,0.397,332.284
2014-09-26T00:00:00,24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.761,7.383,110.121,209.393,298.632,0.055,298.577
2014-09-01T00:00:00,-1,3,2.298,2.41,161.632,142.584,0.185,0.752,0.183,3.572,0.026,5.944,39.846,357.902,9.4,348.502
2014-09-03T00:00:00,1,3,2.116,4.067,37.096,95.056,0.093,1.505,0.262,74.021,0.078,6.878,33.402,251.506,10.785,240.72
2014-09-05T00:00:00,3,3,0.907,3.992,43.72,113.258,0.417,1.881,0.655,94.064,0.155,1.031,23.794,285.867,9.878,275.989
2014-09-08T00:00:00,6,3,1.814,2.109,11.924,43.483,0.463,2.257,0.524,41.674,0.052,10.603,100.651,210.937,8.044,202.892
2014-09-10T00:00:00,8,3,2.116,0.753,21.198,37.921,0.51,0.752,0.262,46.437,0.155,7.595,154.212,266.936,5.401,261.535
2014-09-12T00:00:00,10,3,1.693,0.301,3.975,6.472,0.602,0.376,0.131,25.401,0.389,10.009,130.838,171.846,3.85,167.996
2014-09-15T00:00:00,13,3,0.302,0.226,1.325,4.247,0.371,0.0,0.131,14.288,0.389,6.472,65.994,88.751,1.378,87.374
2014-09-17T00:00:00,15,3,0.181,0.075,1.06,2.022,0.278,0.0,0.262,21.432,1.166,5.243,84.564,111.578,1.014,110.565
2014-09-19T00:00:00,17,3,0.181,0.0,0.927,0.91,0.185,0.0,0.393,26.195,1.943,2.733,64.981,96.084,0.938,95.145
2014-09-22T00:00:00,20,3,0.181,0.0,0.265,1.82,0.093,0.0,0.262,27.783,3.497,5.971,40.033,74.136,0.737,73.399
2014-09-24T00:00:00,22,3,0.302,0.0,0.0,1.011,0.046,0.0,0.262,49.612,3.238,23.989,56.398,111.097,0.838,110.26
2014-09-26T00:00:00,24,3,0.181,0.0,0.0,0.202,0.0,0.0,0.131,31.355,2.331,28.546,72.7,107.237,0.537,106.7
2014-09-01T00:00:00,-1,4,1.814,2.033,50.344,150.673,0.185,0.564,0.262,3.572,0.052,3.425,24.659,237.891,7.576,230.315
2014-09-03T00:00:00,1,4,1.209,6.176,43.72,85.955,0.278,0.941,0.21,91.286,0.026,3.708,22.548,255.114,10.698,244.416
2014-09-05T00:00:00,3,4,0.484,6.627,26.497,96.067,0.185,1.129,0.131,115.497,0.104,2.576,35.156,283.562,9.428,274.134
2014-09-08T00:00:00,6,4,0.786,1.054,7.949,53.09,0.324,0.376,0.262,65.488,0.207,4.853,57.463,188.523,3.599,184.924
2014-09-10T00:00:00,8,4,1.209,0.678,23.185,54.101,0.232,0.188,0.131,67.869,0.518,12.803,292.088,444.656,3.013,441.642
2014-09-12T00:00:00,10,4,0.605,0.452,5.432,18.0,0.185,0.188,0.0,31.752,0.648,16.87,259.034,317.964,1.864,316.1
2014-09-15T00:00:00,13,4,0.484,0.226,6.094,6.674,0.278,0.075,0.131,51.2,1.114,12.121,225.422,292.716,1.443,291.273
2014-09-17T00:00:00,15,4,0.302,0.0,1.855,5.258,0.232,0.075,0.131,71.441,2.072,7.769,200.71,282.743,0.96,281.783
2014-09-19T00:00:00,17,4,0.302,0.0,1.325,1.213,0.185,0.075,0.0,86.523,2.072,10.961,111.563,203.67,0.669,203.002
2014-09-22T00:00:00,20,4,0.181,0.0,0.0,0.809,0.0,0.0,0.0,104.384,5.699,11.53,156.245,267.4,0.258,267.142
2014-09-24T00:00:00,22,4,0.181,0.0,0.0,0.202,0.0,0.0,0.0,96.049,6.217,145.583,301.835,404.561,0.257,404.304
2014-09-26T00:00:00,24,4,0.0,0.0,0.0,0.101,0.0,0.0,0.0,76.204,11.657,39.32,189.62,277.64,0.058,277.582
2014-09-01T00:00:00,-1,5,2.419,1.807,108.638,109.213,0.185,1.317,0.105,5.557,0.052,4.077,32.67,265.534,8.183,257.351
2014-09-03T00:00:00,1,5,1.814,4.067,42.395,100.112,0.185,1.881,0.393,136.929,0.078,2.105,21.199,311.892,10.034,301.858
2014-09-05T00:00:00,3,5,1.995,4.519,29.147,87.977,0.371,0.941,0.655,70.251,0.13,2.455,45.213,243.637,9.668,233.969
2014-09-08T00:00:00,6,5,1.814,2.335,23.185,57.135,0.556,0.564,0.524,38.102,0.155,10.561,160.3,289.474,6.995,282.479
2014-09-10T00:00:00,8,5,1.209,0.678,21.86,52.584,0.417,0.376,0.393,28.577,0.414,15.592,238.095,349.4,3.561,345.839
2014-09-12T00:00:00,10,5,1.088,0.226,1.325,4.854,0.417,0.0,0.262,55.565,0.674,15.963,302.096,368.255,2.618,365.637
2014-09-15T00:00:00,13,5,0.907,0.377,4.505,10.921,0.463,0.075,0.131,70.251,0.479,8.512,179.781,268.959,2.552,266.407
2014-09-17T00:00:00,15,5,0.302,0.151,1.59,6.674,0.463,0.0,0.131,59.534,0.259,6.363,158.924,228.643,1.424,227.219
2014-09-19T00:00:00,17,5,0.302,0.0,2.385,3.843,0.232,0.075,0.0,66.679,0.389,8.769,125.099,199.477,0.971,198.505
2014-09-22T00:00:00,20,5,0.484,0.0,0.795,2.629,0.046,0.0,0.131,92.477,1.425,14.674,127.134,225.409,0.949,224.46
2014-09-24T00:00:00,22,5,0.484,0.0,0.0,0.404,0.0,0.0,0.0,74.22,0.518,28.272,165.176,240.965,0.647,240.318
2014-09-26T00:00:00,24,5,0.0,0.0,0.0,0.101,0.0,0.0,0.0,66.679,0.777,50.269,176.185,244.017,0.275,243.742
2014-09-01T00:00:00,-1,6,3.205,2.41,54.319,106.179,0.232,0.941,0.197,7.938,0.078,5.912,43.471,222.052,9.326,212.726
2014-09-03T00:00:00,1,6,2.721,5.498,33.121,115.28,0.139,1.129,0.131,190.51,0.181,3.57,37.75,388.753,11.369,377.384
2014-09-05T00:00:00,3,6,2.298,8.887,26.497,103.146,0.232,0.752,0.131,214.721,0.13,4.599,92.438,450.994,13.325,437.669
2014-09-08T00:00:00,6,6,1.814,3.314,3.975,16.18,0.185,0.188,0.262,196.464,0.13,7.953,181.933,407.958,6.947,401.011
2014-09-10T00:00:00,8,6,1.391,2.41,9.936,36.404,0.139,0.0,0.0,186.938,0.311,11.588,230.624,473.938,5.088,468.851
2014-09-12T00:00:00,10,6,0.484,0.904,2.915,10.315,0.093,0.0,0.0,183.961,0.44,4.266,119.968,321.87,1.972,319.898
2014-09-15T00:00:00,13,6,0.302,0.377,2.12,4.449,0.0,0.113,0.0,141.692,0.104,6.062,162.982,313.202,1.165,312.038
2014-09-17T00:00:00,15,6,0.302,0.151,0.265,0.404,0.0,0.0,0.0,123.832,0.259,16.546,191.073,316.561,0.627,315.934
